English,Chinese
word,单词
you,你
I or I.,我或我。
to,到
the,这
a or A.,A或A.
and,和
that,那
it,它
of,的
me,我
what,什么
is,是
in,在
this,这
know,知道
I'm,我是
for,为了
no,不
have,有
my,我的
don't,别
just,只是
not,不是
do,做
be,是
on,在
your,你的
was,曾是
we,我们
it's,它是
with,和
so,所以
but,但
all,全部
well,好
are,是
he,他
oh,哦
about,关于
right,对
you're,你是
get,得到
here,这里
out,出去
going,去
like,喜欢
yeah,是的
if,如果
her,她
she,她
can,能够
up,向上
want,想
think,思考
that's,那是
now,现在
go,去
him,他
at,在
how,如何
got,拿到
there,那里
one,一
did,做过
why,为什么
see,看
come,来
good,好的
they,他们
really,真的
as,作为
would,将
look,看
when,什么时候
time,时间
will,将要
okay,好的
back,背部
can't,不能
mean,意思是
tell,告诉
I'll,患病的
from,从
hey,嘿
were,是
he's,他是
could,可以
didn't,没有
yes,是的
his,他的
been,到过
or,或者
something,某物
who,谁
because,因为
some,一些
had,有
then,然后
say,说
ok,行
take,拿
an,一个
way,大大地
us,我们
little,小的
make,制作
need,需要
gonna,g
never,绝不
we're,是
too,也
love,爱
she's,她是
I've,我有
sure,当然
them,他们
more,更多的
over,超过
our,我们的
sorry,对不起
where,在哪里
what's,什么是
let,让
thing,事物
am,是
maybe,或许
down,向下
man,男子
has,拥有
uh,呃
very,非常
by,经过
there's,有
should,应该
anything,任何事物
said,说
much,很多
any,任何
life,生活
even,甚至
off,离开
please,请
doing,正在做
thank,感谢
give,给
only,只要
thought,想法
help,帮助
two,二
talk,讲话
people,人们
god,上帝
still,仍然
wait,等待
into,进入
find,寻找
nothing,没有什么
again,再次
things,事物
let's,让我们
doesn't,没有
call,称呼
told,告诉
great,伟大的
before,前
better,更好的
ever,曾经
night,夜晚
than,比
away,离开
first,第一的
believe,相信
other,其他
feel,感觉
everything,一切
work,工作
you've,你是谁
fine,美好的
home,家
after,后
last,最后的
these,这些
day,日
keep,保持
does,做
put,放
around,大约
stop,停止
they're,他们是
I'd,ID
guy,guy
long,长
isn't,不是
always,总是
listen,听
wanted,通缉
Mr.,先生。
guys,伙计们
huh,呵呵
those,那些
big,大的
lot,很多
happened,发生了
thanks,谢谢
won't,惯于
trying,试
kind,种类
wrong,错误的
through,通过
talking,说
made,制成
new,新的
being,存在
guess,猜测
hi,你好
care,关心
bad,坏的
mom,妈妈
remember,记住
getting,得到
we'll,好
together,一起
dad,爸爸
leave,离开
mother,母亲
place,地方
understand,理解
wouldn't,不会
actually,实际上
hear,听到
baby,婴儿
nice,好的
father,父亲
else,别的
stay,停留
done,完毕
wasn't,不是
their,他们的
course,课程
might,可能
mind,头脑
every,每一个
enough,足够的
try,尝试
hell,地狱
came,来了
someone,某人
you'll,你会
own,自己的
family,家庭
whole,所有的
another,其他
house or House,房子或房子
Jack or jack,杰克或杰克
yourself,你自己
idea,主意
ask,问
best,最好的
must,必须
coming,未来
old,老的
looking,看着
woman,女士
hello,你好
which,哪个
years,年
room,房间
money,钱
left,剩下
knew,kn
tonight,今晚
real,真实的
son,儿子
hope,希望
name,名称
same,相同的
went,去
um,嗯
hmm,唔
happy,快乐的
pretty,漂亮
saw,锯
girl,女孩
sir,先生
show,展示
friend,friend
already,已经
saying,说
may or May,可能或五月
next,下一个
three,三
job,工作
problem,问题
minute,分钟
found,成立
world,世界
thinking,思维
haven't,没有
heard,听到
honey,蜂蜜
matter,事情
myself,我
couldn't,不能
exactly,确切地
having,拥有
ah,啊
probably,大概
happen,发生
we've,我们已经
hurt,伤害
boy,男生
both,两个都
while,尽管
dead,死的
gotta,必须
alone,独自的
since,自从
excuse,借口
start,开始
kill,杀
hard,难的
you'd,你
today,今天
car,车
ready,准备好
until,直到
without,没有
whatever,任何
wants,愿意
hold,抓住
wanna,想
yet,然而
seen,看
deal,交易
took,拿
once,一次
gone,走了
called,叫
morning,早晨
supposed,应该
friends,朋友们
head,头
stuff,东西
most,最多
used,用过的
worry,担心
second,第二
part,部分
live,居住
truth,真相
school,学校
face,脸
forget,忘记
TRUE,真的
business,商业
each,每个
cause,原因
soon,很快
knows,知道
few,很少
telling,讲
wife,妻子
who's,谁是
use,利用
chance,机会
run,跑
move,移动
anyone,任何人
person,人
bye,再见
J.,j。
somebody,有人
Dr. or dr.,博士或博士。
heart,心
such,这样的
miss,错过
married,已婚
point,观点
later,之后
making,制作
meet,遇到
anyway,反正
many,许多
phone,电话
reason,原因
damn,该死
lost,丢失
looks,看起来
bring,带来
case,案件
turn,转动
wish,希望
tomorrow,明天
kids,孩子们
trust,相信
check,查看
change,改变
end,结尾
late,晚了
anymore,再次
five,五
least,至少
town,镇
aren't,不是
ha,哈
working,在职的
year,年
makes,使
taking,服用
means,方法
brother,兄弟
play,玩
hate,恨
ago,前
says,说
beautiful,美丽的
gave,给了
fact,事实
crazy,疯狂的
party,派对
sit,坐
open,打开
afraid,害怕
between,之间
important,重要的
rest,休息
fun,乐趣
kid,孩子
word,单词
watch,手表
glad,高兴的
everyone,每个人
days,天
sister,姐姐
minutes,分钟
everybody,每个人
bit,少量
couple,一对
whoa,哇
either,任何一个
Mrs.,太太。
feeling,感觉
daughter,女儿
wow,哇
gets,得到
asked,问
under,在下面
break,休息
promise,承诺
door,门
set,放
close,关闭
hand,手
easy,简单
question,问题
doctor,医生
tried,tried
far,远的
walk,走
needs,需求
trouble,麻烦
mine,矿
though,尽管
times,时代
different,不同的
killed,丧生
hospital,医院
anybody,有人
Sam or SAM,山姆或山姆
alright,好吧
wedding,婚礼
shut,关闭
able,有能力的
die,死
perfect,完美的
police,警察
stand,站立
comes,来了
hit,打
story,故事
ya,雅
mm,毫米
waiting,等待
dinner,晚餐
against,反对
funny,有趣的
husband,丈夫
almost,几乎
stupid,愚蠢的
pay,支付
answer,回答
four,四
office,办公室
cool,凉爽的
eyes,eyes
news,消息
child,孩子
shouldn't,不应该
half,一半
side,边
yours,你的
moment,片刻
sleep,睡觉
read,读
where's,哪里
started,开始
young,年轻
men,男子
sounds,声音
sonny or Sonny,桑尼或桑尼
lucky,幸运的
pick,挑选
sometimes,有时
em,em.
bed,床
also,还
date,日期
line,线
plan,计划
hours,小时
lose,失去
fire,火
free,自由
hands,hands
serious,严肃的
Leo,狮子座
shit,拉屎
behind,在后面
inside,里面
high,高的
ahead,先
week,星期
wonderful,精彩的
T.,T.
fight,斗争
past,过去的
cut,切
quite,相当
number,数字
he'll,地狱
sick,生病的
S.,S.
it'll,它会
game,游戏
eat,吃
nobody,没有人
goes,去
death,死亡
along,沿着
save,保存
seems,似乎
finally,最后
lives,生命
worried,担心
upset,沮丧的
Theresa,有个
Carly,car
Ethan,埃桑
met,遇见
book,书
brought,带来
seem,似乎
sort,种类
safe,安全的
living,生活
children,孩子们
weren't,不是
leaving,离开
front,正面
shot,射击
loved,被爱
asking,询问
running,跑步
clear,清除
figure,数字
hot,热的
felt,毛毡
six,六
parents,父母
drink,喝
absolutely,绝对地
how's,怎么样
daddy,爸
sweet,甜的
alive,活
Paul,保罗
sense,感觉
meant,意思
happens,发生
David,大卫
special,特别的
bet,赌注
blood,血液
ain't,不是
kidding,开玩笑
lie,说谎
full,满的
meeting,会议
dear,亲
coffee,咖啡
seeing,see
sound,声音
fault,过错
water,水
fuck,他妈的
ten,十
women,女性
John or john,约翰或约翰
welcome,欢迎
buy,买
months,几个月
hour,小时
speak,说话
lady,淑女
Jen,詹
thinks,认为
Christmas,圣诞节
body,身体
order,命令
outside,外部
hang,悬挂
possible,可能的
worse,更差
company,公司
mistake,错误
ooh,哦
handle,处理
spend,花费
C.,C。
totally,完全
giving,给予
control,控制
here's,这是
marriage,婚姻
realize,意识到
D.,D.
power,力量
president,总统
unless,除非
sex,性别
girls,女孩们
send,发送
needed,需要
O. or o,O.或O.
taken,拍摄
died,死了
scared,害怕的
picture,图片
talked,谈到
Jake,杰克
Al,AL.
ass,屁股
hundred,百
changed,改变了
completely,完全地
explain,解释
playing,玩
certainly,当然
sign,符号
boys,男孩们
relationship,关系
Michael,迈克尔
loves,爱
fucking,他妈的
hair,头发
lying,撒谎
choice,选择
anywhere,任何地方
secret,秘密
future,未来
weird,奇怪的
luck,运气
she'll,壳
Max or max.,最大或最大。
Luis,luis.
turned,转身
known,众所周知
touch,触碰
kiss,吻
Crane or crane,起重机或起重机
questions,问题
obviously,明显地
wonder,想知道
pain,疼痛
calling,打电话
somewhere,某处
throw,扔
straight,直的
Grace or grace,恩典或恩典
cold,寒冷的
white or White,白色或白色
fast,快速地
Natalie,娜塔莉
words,字
R.,R.
food,食物
none,没有任何
drive,驾驶
feelings,情怀
they'll,他们会
worked,工作
marry,结婚
light,光
test,测试
drop,降低
cannot,不能
Frank,坦率
sent,发送
city,城市
dream,梦
protect,保护
twenty,二十
class,班级
Lucy,露西
surprise,惊喜
its,它的
sweetheart,亲爱的
forever,永远
poor,贫穷的
looked,看着
mad,疯狂的
except,除了
gun,枪
y'know,y'know.
dance,舞蹈
takes,需要
appreciate,欣赏
especially,尤其
situation,情况
besides,除了
weeks,周
pull,拉
himself,他自己
hasn't,没有
act,行为
worth,值得
Sheridan,谢里丹
amazing,惊人
top,最佳
given,给予
expect,预计
Ben,恩
rather,相当
Julian,朱利安
involved,涉及
swear,发誓
piece,片
busy,忙
law,法律
decided,决定
black or Black,黑色或黑色
Joey,乔伊
happening,发生
movie,电影
we'd,星期三
catch,抓住
Antonio,安东尼奥
country,国家
less,较少的
perhaps,也许
step,步
fall,落下
watching,观看
kept,ke
darling,亲爱的
dog,狗
Ms.,多发性硬化症。
win,赢
air,空气
honor,荣誉
personal,个人的
moving,移动
till,直到
admit,承认
problems,问题
murder,谋杀
strong,强的
he'd,他是谁
evil,邪恶的
definitely,确实
feels,感觉
information,信息
honest,诚实的
eye,眼睛
broke,br
missed,错过了
longer,更长
dollars,美元
tired,疲劳的
Jason,杰森
George,乔治
evening,晚上
human,人类
starting,开始
Ross,罗斯
red,红色的
entire,全部的
trip,旅行
Brooke,布鲁克
E.,E.
club,俱乐部
Niles,尼尔斯
suppose,认为
calm,冷静的
imagine,想象
Todd,托德
fair,公平的
caught,抓住
B.,B.
blame,责备
street,街道
sitting,坐着
favor,有利
apartment,公寓
court,法庭
terrible,糟糕的
clean,干净的
Tony or tony,托尼或托尼
learn,学习
Alison,艾莉森
Rick,r
works,作品
Rose or rose,玫瑰或玫瑰
Frasier,弗拉西尔
relax,放松
York,约克
million,百万
charity,慈善机构
accident,事故
wake,唤醒
prove,证明
Danny,丹尼
smart,聪明的
message,信息
missing,失踪
forgot,忘记
small,小的
interested,感兴趣的
table,桌子
nbsp,NBSP.
become,变得
Craig,克雷格
mouth,嘴
pregnant,孕
middle,中间
Billy or billy,比利或比利
ring,戒指
careful,小心
shall,将
dude,伙计
team,团队
ride,骑
figured,图
wear,穿
shoot,射击
stick,戳
Ray or ray,射线或射线
follow,跟随
Bo,博
angry,生气的
instead,反而
buddy,伙伴
write,写
stopped,停下来
early,早期的
Angel or angel,天使或天使
Nick or nick,尼克或尼克
ran,跑
war,战争
standing,常设
forgive,原谅
jail,监狱
wearing,wearing
Miguel,米格尔
ladies,女士们
kinda,有点儿
lunch,午餐
Cristian,克里斯蒂安
eight,八
Greenlee,格林雷
gotten,得到
hoping,希望
Phoebe,菲比
thousand,千
ridge,岭
music,音乐
Luke,卢克
paper,纸
tough,艰难的
tape,磁带
Emily,艾米莉
state,状态
count,数数
college,大学
boyfriend,男朋友
proud,自豪的
agree,同意
birthday,生日
bill,账单
seven,七
they've,他们已经
Timmy,蒂米
history,历史
share,分享
offer,提供
hurry,匆忙
ow,ow
feet,脚
wondering,想知道
simple,简单的
decision,决定
building,建造
ones,那些
finish,结束
voice,嗓音
herself,自己
Chris,克里斯
would've,会
list,列表
Kay,凯
mess,混乱
deserve,应得
evidence,证据
cute,可爱的
Jerry,杰瑞
dress,裙子
Richard,理查德
interesting,有趣的
Jesus,耶稣
James,詹姆士
hotel,酒店
enjoy,请享用
Ryan,瑞安
Lindsay,Lindsay.
quiet,安静的
concerned,担心的
road,路
Eve or eve,夏娃或夏娃
staying,留下来
short,短的
M.,M.
beat,打
sweetie,甜心
mention,提到
clothes,衣服
finished,完成的
fell,fell
neither,两者都不
mmm,嗯
fix,使固定
Victor or victor,维克多或维克多
respect,尊重
spent,花费
prison,监狱
attention,注意力
holding,保持
calls,呼叫
near,靠近
surprised,惊讶
bar,酒吧
Beth,b
pass,经过
keeping,保持
gift,礼物
hadn't,没有
putting,put
dark,黑暗的
self,自己
owe,欠
using,使用
Nora,诺拉
ice,冰
helping,帮助
bitch,婊子
normal,普通的
aunt,姨
lawyer,律师
apart,除此之外
certain,肯定
plans,计划
Jax,jax.
girlfriend,女朋友
floor,地面
whether,无论
everything's,一切都是
present,展示
earth,地球
private,私人的
Jessica,杰西卡
box,盒子
Dawson,道森
cover,覆盖
judge,法官
upstairs,楼上
Alexis,alexis.
Shawn,肖恩
sake,清酒
mommy,妈妈
possibly,可能
worst,最糟糕的